访问形式*：可填值：公务拜访或入校参观,,,,,,,,,,,
访客姓名*：访客姓名必填,,,,,,,,,,,
手机号*：手机号必填，以#号结尾,,,,,,,,,,,
证件类型*：证件类型必填 填写:身份证或护照,,,,,,,,,,,
证件号码*：证件号码必填，以#号结尾,,,,,,,,,,,
车辆号码：车辆号码选填,,,,,,,,,,,
审批人学工号：审批人学工号 公务拜访必填 /入校参观不填，以#号结尾,,,,,,,,,,,
审批人姓名：审批人姓名 公务拜访选填 /入校参观不填,,,,,,,,,,,
场所名称*：场所名称必填 公务拜访为拜访场所/入校参观为参观场所，多个用@号隔开，最小层级为校区，填写场所名称如下:东区@西区@北区@梅山校区,,,,,,,,,,,
访问开始时间*：访问开始时间必填，时间格式如下:2023-06-27 00:00#，以#结尾,,,,,,,,,,,
访问结束时间*：访问结束时间必填，时间格式如下:2023-06-30 23:00#，以#结尾,,,,,,,,,,,
拜访人及事由：拜访人及事由 公务拜访选填 /入校参观不填,,,,,,,,,,,
访问形式*,访客姓名*,手机号*,证件类型*,证件号码*,车辆号码,审批人学工号,审批人姓名,场所名称*,访问开始时间*,访问结束时间*,拜访人及事由
公务拜访,杜乐飞,15267854533#,身份证,330227199001040548#,浙B870XJ,12313213#,事情,东区@西区,2025-07-14 07:00#,2025-07-14 07:10#,培训
